sku,nombre_estandarizado,grupo_general,grupo_especializado,marca,modelo,descripcion_tecnica,capacidad,voltaje,refrigerante,tipo_operacion,seer,observaciones_equivalencia,proveedor_original,sku_original,precio_referencia,unidad
EQ-POR-1T110-001,Aire Portátil Mirage X-One 1T 110V Solo Frío,Equipos HVAC,Aires Portátiles,Mirage,X-One,Portátil 12000 BTU Solo Frío R410A,1 Ton,110V,R410A,Solo Frío,,Portátil X - One Solo Frío,Tienda Mirage,MIR-1388,7032.00,Pieza
EQ-POR-1T110-002,Aire Portátil Mirage X-One 1T 110V Frío-Calor,Equipos HVAC,Aires Portátiles,Mirage,X-One 4en1,Portátil 14000 BTU Frío-Calor R410A 4 en 1,1 Ton,110V,R410A,Frío-Calor,,Portátil X - One Con Calefacción,Tienda Mirage,MIR-1389,9718.00,Pieza
EQ-MSO-1T110-001,Minisplit On-Off Mirage Life12+ 1T 110V Frío-Calor,Equipos HVAC,Minisplits Residenciales,Mirage,Life 12+,12000 BTU Frío-Calor R410A 12 SEER,1 Ton,110V,R410A,Frío-Calor,12,Life 12 + 1 Ton Frío - Calor 110v,Tienda Mirage,MIR-1943,6707.00,Pieza
EQ-MSO-1T220-001,Minisplit On-Off Mirage Life12+ 1T 220V Frío-Calor,Equipos HVAC,Minisplits Residenciales,Mirage,Life 12+,12000 BTU Frío-Calor R410A 12 SEER,1 Ton,220V,R410A,Frío-Calor,12,Life 12 + 1 Ton Frío - Calor 220v,Tienda Mirage,MIR-1944,6173.00,Pieza
EQ-MSO-1.5T220-001,Minisplit On-Off Mirage Life12+ 1.5T 220V Frío-Calor,Equipos HVAC,Minisplits Residenciales,Mirage,Life 12+,18000 BTU Frío-Calor R410A 12 SEER,1.5 Ton,220V,R410A,Frío-Calor,12,Life 12+ 1.5 Ton Frío - Calor 220v,Tienda Mirage,MIR-1946,9448.00,Pieza
EQ-MSO-2T220-001,Minisplit On-Off Mirage Life12+ 2T 220V Solo Frío,Equipos HVAC,Minisplits Residenciales,Mirage,Life 12+,24000 BTU Solo Frío R410A 12 SEER,2 Ton,220V,R410A,Solo Frío,12,Life 12 + 2 Ton Frío 220v,Tienda Mirage,MIR-2218,11505.00,Pieza
EQ-MSO-2T220-002,Minisplit On-Off Mirage Life12+ 2T 220V Frío-Calor,Equipos HVAC,Minisplits Residenciales,Mirage,Life 12+,24000 BTU Frío-Calor R410A 12 SEER,2 Ton,220V,R410A,Frío-Calor,12,Life 12 + 2 Ton Frío - Calor 220v,Tienda Mirage,MIR-1945,12582.00,Pieza
EQ-MSI-1T110-001,Minisplit Inverter Mirage X 1T 110V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X,12000 BTU Solo Frío R410A 18 SEER,1 Ton,110V,R410A,Solo Frío,18,Inverter X 1 Ton Frío 110V,Tienda Mirage,MIR-1910,6756.26,Pieza
EQ-MSI-1T220-001,Minisplit Inverter Mirage X 1T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X,12000 BTU Solo Frío R410A 18 SEER,1 Ton,220V,R410A,Solo Frío,18,Inverter X 1 Ton Frío 220V,Tienda Mirage,MIR-1912,6531.86,Pieza
EQ-MSI-1.5T220-001,Minisplit Inverter Mirage X 1.5T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X,18000 BTU Solo Frío R410A 18 SEER,1.5 Ton,220V,R410A,Solo Frío,18,Inverter X 1.5 Ton Frío 220V,Tienda Mirage,MIR-1914,9469.69,Pieza
EQ-MSI-1.5T220-002,Minisplit Inverter Mirage X 1.5T 220V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X,18000 BTU Frío-Calor R410A 18 SEER,1.5 Ton,220V,R410A,Frío-Calor,18,Inverter X 1.5 Ton Frío - Calor 220V,Tienda Mirage,MIR-1915,10139.34,Pieza
EQ-MSI-2T220-001,Minisplit Inverter Mirage X 2T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Inverter X,24000 BTU Solo Frío R410A 18 SEER,2 Ton,220V,R410A,Solo Frío,18,Inverter X 2 Ton Frío 220V,Tienda Mirage,MIR-1916,12435.77,Pieza
EQ-MSI-1T110-002,Minisplit Inverter Mirage Magnum22 1T 110V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Magnum 22,12000 BTU Frío-Calor R410A 22 SEER,1 Ton,110V,R410A,Frío-Calor,22,Magnum 22 1 Ton Frío - Calor 110v,Tienda Mirage,MIR-1936,12348.55,Pieza
EQ-MSI-1T220-002,Minisplit Inverter Mirage Magnum22 1T 220V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Magnum 22,12000 BTU Frío-Calor R410A 22 SEER,1 Ton,220V,R410A,Frío-Calor,22,Magnum 22 1 Ton Frío - Calor 220v,Tienda Mirage,MIR-1938,12106.00,Pieza
EQ-MSI-1.5T220-003,Minisplit Inverter Mirage Magnum22 1.5T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Magnum 22,18000 BTU Solo Frío R410A 22 SEER,1.5 Ton,220V,R410A,Solo Frío,22,Magnum 22 1.5 Ton Frío 220v,Tienda Mirage,MIR-1939,15844.00,Pieza
EQ-MSI-1.5T220-004,Minisplit Inverter Mirage Magnum22 1.5T 220V Frío-Calor R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Magnum 22,18000 BTU Frío-Calor R410A 22 SEER,1.5 Ton,220V,R410A,Frío-Calor,22,Magnum 22 1.5 Ton Frío - Calor 220v,Tienda Mirage,MIR-2198,16624.00,Pieza
EQ-MSI-2T220-002,Minisplit Inverter Mirage Magnum22 2T 220V Solo Frío R410A,Equipos HVAC,Minisplits Residenciales,Mirage,Magnum 22,24000 BTU Solo Frío R410A 22 SEER,2 Ton,220V,R410A,Solo Frío,22,Magnum 22 2 Ton Frío 220v,Tienda Mirage,MIR-2221,20757.00,Pieza
