sku,nombre_estandarizado,grupo_general,grupo_especializado,marca,modelo,descripcion_tecnica,capacidad,voltaje,refrigerante,tipo_operacion,seer,observaciones_equivalencia,proveedor_original,sku_original,precio_referencia,unidad
TMP-3165818A,Gas Refrigerante Chemours Opteon XL41 boya 9.08KG,Gases Refrigerantes,Refrigerantes,Genérica,,Gas Refrigerante Chemours Opteon XL41 boya 9.08KG,,,,,,Gas Refrigerante Chemours Opteon XL41 boya 9.08KG,Grupo Coresa,COR-240521-00026751,7142.62,Pieza
GR-R32-1D8C,Gas Refrigerante IGAS R-32 Lata 650Gr,Gases Refrigerantes,Refrigerantes,IGAS,Lata 650G,Gas Refrigerante IGAS R-32 Lata 650Gr,,,R-32,,,Gas Refrigerante IGAS R-32 Lata 650Gr,Grupo Coresa,COR-241212-00047361,261.82,Pieza
GR-R32-660A,Gas Refrigerante IGAS R-32 Lata 650Gr,Gases Refrigerantes,Refrigerantes,IGAS,Lata 650G,Gas Refrigerante IGAS R-32 Lata 650Gr,,,R-32,,,Gas Refrigerante IGAS R-32 Lata 650Gr,Grupo Coresa,COR-241212-00047361,261.82,Pieza
GR-R290-4987,Gas Refrigerante iGas R-290 Lata 400Gr,Gases Refrigerantes,Refrigerantes,iGas,Lata 400G,Gas Refrigerante iGas R-290 Lata 400Gr,,,R-290,,,Gas Refrigerante iGas R-290 Lata 400Gr,Grupo Coresa,COR-241230-00049361,169.37,Pieza
GR-R290-14FD,Gas Refrigerante iGas R-290 Lata 400Gr,Gases Refrigerantes,Refrigerantes,iGas,Lata 400G,Gas Refrigerante iGas R-290 Lata 400Gr,,,R-290,,,Gas Refrigerante iGas R-290 Lata 400Gr,Grupo Coresa,COR-241230-00049361,169.37,Pieza
GR-R290-EA3A,Gas Refrigerante iGas R-290 Boya 5Kg,Gases Refrigerantes,Refrigerantes,iGas,Boya 5Kg,Gas Refrigerante iGas R-290 Boya 5Kg,,,R-290,,,Gas Refrigerante iGas R-290 Boya 5Kg,Grupo Coresa,COR-250102-00059361,1065.47,Pieza
GR-R290-5E1E,Gas Refrigerante iGas R-290 Boya 5Kg,Gases Refrigerantes,Refrigerantes,iGas,Boya 5Kg,Gas Refrigerante iGas R-290 Boya 5Kg,,,R-290,,,Gas Refrigerante iGas R-290 Boya 5Kg,Grupo Coresa,COR-250102-00059361,1065.47,Pieza
GR-R32-9ABF,Gas Refrigerante iGas R-32 Boya 3kg,Gases Refrigerantes,Refrigerantes,iGas,Boya 3kg,Gas Refrigerante iGas R-32 Boya 3kg,,,R-32,,,Gas Refrigerante iGas R-32 Boya 3kg,Grupo Coresa,COR-250102-00079361,982.57,Pieza
GR-R32-E19E,Gas Refrigerante iGas R-32 Boya 3kg,Gases Refrigerantes,Refrigerantes,iGas,Boya 3kg,Gas Refrigerante iGas R-32 Boya 3kg,,,R-32,,,Gas Refrigerante iGas R-32 Boya 3kg,Grupo Coresa,COR-250102-00079361,982.57,Pieza
GR-R600-0AF1,Gas Refrigerante iGas R-600 Lata 420Gr,Gases Refrigerantes,Refrigerantes,iGas,Lata 420G,Gas Refrigerante iGas R-600 Lata 420Gr,,,R-600,,,Gas Refrigerante iGas R-600 Lata 420Gr,Grupo Coresa,COR-250102-00089361,169.37,Pieza
GR-R600-AB6A,Gas Refrigerante iGas R-600 Lata 420Gr,Gases Refrigerantes,Refrigerantes,iGas,Lata 420G,Gas Refrigerante iGas R-600 Lata 420Gr,,,R-600,,,Gas Refrigerante iGas R-600 Lata 420Gr,Grupo Coresa,COR-250102-00089361,169.37,Pieza
GR-R32-1C15,Gas Refrigerante Erka HFC R-32 Lata 680G,Gases Refrigerantes,Refrigerantes,Erka HFC,Lata 680G,Gas Refrigerante Erka HFC R-32 Lata 680G,,,R-32,,,Gas Refrigerante Erka HFC R-32 Lata 680G,Grupo Coresa,COR-251008-00009071,258.91,Pieza
GR-R32-280C,Gas Refrigerante Erka HFC R-32 Lata 680G,Gases Refrigerantes,Refrigerantes,Erka HFC,Lata 680G,Gas Refrigerante Erka HFC R-32 Lata 680G,,,R-32,,,Gas Refrigerante Erka HFC R-32 Lata 680G,Grupo Coresa,COR-251008-00009071,258.91,Pieza
GR-R600-CE08,Gas Refrigerante Erka R-600 Lata 420G,Gases Refrigerantes,Refrigerantes,Erka,Lata 420G,Gas Refrigerante Erka R-600 Lata 420G,,,R-600,,,Gas Refrigerante Erka R-600 Lata 420G,Grupo Coresa,COR-251008-00019071,215.76,Pieza
