id,sku_qrclima,display_name,brand,model,capacity,voltage,operation_type,technology,refrigerant,category_id,created_at
0004ff54-11fa-4ca1-9308-72c88e21ae9b,REF-TIE-MIR138,COMPRESOR 3 TON INVERTER - MAGNUM 17,GENERICO,REFACCION,,,,,,,2025-12-28 01:15:25.53328+00
0011e544-92cb-436f-a7ee-2310c89039d8,EQ-MSI-1T220-004,Minisplit Prime Brgth 1 Ton 220V Solo Frío Inverter,MIRAGE,INVERTER V32,1 TON,220V,Solo Frío,Inverter,R32,271,2025-12-27 12:37:06.86868+00
001a368c-7e8f-4abe-872c-30297bd65587,HE-DOB-PAL-58-001,Dobla Tubo de Palanca 5/8 Uniweld,UNIWELD,70012,,,,On-Off,,248,2025-12-27 12:37:06.86868+00
003e81b2-24df-4c3b-bab2-2e72540bd713,HE-DES-201-UNI-001,Desarmador 20 en 1 Uniweld,UNIWELD,20N1RSD,,,,On-Off,,276,2025-12-27 12:37:06.86868+00
005efb97-2348-42c5-a2b6-4777f6f5abe7,HE-INS-BAS-YJ-001,Báscula Precisión Yellow Jacket 61003,YELLOW JACKET,61003,,,,On-Off,,194,2025-12-27 12:37:06.86868+00
0065bebe-5965-4ace-92fd-86f22cd05102,VAR-REA-802771972d9804c4ffecbfa4316c6d19,TARJETA UNIVERSAL PARA MINISPLIT CON CONTROL 220 V,VARIOS,REFACCION,,,,,,,2025-12-28 01:17:36.477301+00
007f61f1-77b8-4023-abee-dd01eb9f21af,HER-MAN-014,Manifold Ero Sin Mirilla R22/R410A/R404,ERO INTERNATIONAL,MFREHA004,,,,On-Off,,276,2025-12-27 14:45:43.489313+00
008494c8-7cb4-4a32-8803-89dbbc176b47,HER-SOL-005,Boquilla Soplete Triple Angular,GENERICO,RP3-T3,,,,On-Off,,180,2025-12-27 14:45:43.489313+00
009efeb4-f501-4a07-b8b1-3cdd01b6a01a,EQ-MIR-aabcde29f67e83ca648f08da042819cc,Minisplit Mirage ASPA VENTANA DIAMETRO 39.6 CM X ANCHO 10.2 CM (1.2),MIRAGE,GENERICO,,,,,,,2025-12-28 01:19:04.015554+00
00a73f09-01b9-46c9-868e-fe1330795074,HE-SOL-EQU-HAR-001,Equipo Corte y Soldadura Harris,HARRIS,4400366,,,,On-Off,,180,2025-12-27 12:37:06.86868+00
00b197e4-6616-443d-a108-78ff840c56e8,MI-CON-COP-78-10,Cople Cobre 7/8 (Paquete 10pz),GENERICO,COP-7/8-10,,,,On-Off,,206,2025-12-27 12:37:06.86868+00
00cd9ccb-4b6f-4238-8c1f-4d0c6ed60183,VAR-REA-2d46f6493b9aa402924f4759748a8111,VÁLVULA EMERSON DE THERMO EXPANSIÓN R-404A EXTERNO,VARIOS,REFACCION,,,,,,,2025-12-28 01:17:36.477301+00
00d086d9-e5c6-4af4-a324-2deb822db580,EQ-FAN-3T120-001,Fan&Coil York 3T 120V Solo Frío,YORK,AGUA HELADA,3 TON,120V,Solo Frío,On-Off,,274,2025-12-27 12:37:06.86868+00
00ee97b3-f64c-44d6-9317-13b73380e107,INS-SOL-003,Soldadura 15% Plata 8 Varillas,SILVALOY,SILVALOY-158T,15% PLATA,,,On-Off,,180,2025-12-27 14:45:43.489313+00
00ef7cb5-dc9f-4dac-9dc5-2d593ec8ba12,REF-TIE-MIR456,Tarjeta electrónica,GENERICO,REFACCION,,,,,,,2025-12-28 01:15:25.53328+00
00fef406-181a-43c6-9b6f-692a11833196,EQ-MIR-019e9d4aac01d1bbaed06667706bb691,"Minisplit Mirage SWITCH DE ALTA PRESION, MOD: YK3.0/2.4 MPA 250V 3A",MIRAGE,GENERICO,,,,,,,2025-12-28 01:19:04.015554+00
010435c0-fdc8-4b0d-bf3b-64befade83ce,REF-TIE-MIR1095,VALVULA DE LINEA DE GAS - BP06ZR11-LP,GENERICO,REFACCION,,,,,,,2025-12-28 01:15:25.53328+00
0105f57e-9c53-47a2-a4aa-f0834f2e8f95,RF-PUR-023,Tee Purificador,MIRAGE,MIR-1271,,,,On-Off,,347,2025-12-27 14:45:43.489313+00
011b5584-8237-4ac8-8905-611520786eda,EQ-PAQ-10T220-001,Paquete Comercial York 10T 220V Solo Frío R410A 11.2SEER,YORK,PREDATOR,10 TON,220V,Solo Frío,On-Off,R410A,243,2025-12-27 12:37:06.86868+00
0128c48f-7490-4603-80cf-d04ad38267ca,HER-MAN-013,Manifold Ero Latón con Mirilla,ERO INTERNATIONAL,MFREHA002,,,,On-Off,,276,2025-12-27 14:45:43.489313+00
013e815a-e251-4d1a-8d16-c971b031b541,EQ-MIN-PRI-15T220-004,Minisplit Prime Elite 1.5 Ton Frío/Calor Estándar 220V,PRIME,EMPRN182-E2,,,,On-Off,,166,2025-12-27 12:37:06.86868+00
0143b5ac-1ed7-485d-a2d3-6bd072cf9dcb,VAR-GRU-c1782d07b1dced52ffb9647f3b1d4ca1,Manejadora Aire Horizontal York YAH10BSH00C0F0L0G 12.5Tr 5 Hileras Solo Frío 230/3/60 Uso Interior 5000CFM Filtros G1 Izquierda,VARIOS,REFACCION,,,,,,,2025-12-28 01:17:36.477301+00
01453147-1dda-46af-b499-4a5d8d3b154f,REF-GRU-COR18120100003075,Capacitor de Marcha Copeland 914-0037-51 370V,GENERICO,REFACCION,,,,,,,2025-12-28 01:15:25.53328+00
01487f68-4081-4748-bf26-aadbf69c9978,RF-TAR-066,Módulo Tarjeta Condensador (17122-37),MIRAGE,MIR-1626,,,,On-Off,,301,2025-12-27 14:45:43.489313+00
0148ca26-79cd-48cf-8439-ea911e9a93eb,CHE-DET-003,Cartucho Tinta Fluorescente Spectroline,SPECTROLINE,SPE-EZ5E-CS,,,,On-Off,,312,2025-12-27 14:45:43.489313+00
0153ea7d-7aec-4c18-8e0c-debeef1e0c56,REF-GRU-COR18120100000034,Bomba Aspen FP1057  110-230/1/60V 2Tr Mini Naranja Univolt,GENERICO,REFACCION,,,,,,,2025-12-28 01:15:25.53328+00
0155b154-81c5-47f5-9759-a3e52acd2552,REF-GRU-COR18120100008863,Capacitor de Trabajo 60/5 440 60+5Mfd 440V,GENERICO,REFACCION,,,,,,,2025-12-28 01:15:25.53328+00
