sku,nombre_estandarizado,grupo_general,grupo_especializado,marca,modelo,descripcion_tecnica,capacidad,voltaje,refrigerante,tipo_operacion,unidad,observaciones_equivalencia
AC-ACC-ADE-001,Tapa Superior Tubo de Bombeo Adesa,AC,Accesorios,Adesa,4516,Tapa Superior para Tubo de Bombeo,NA,NA,NA,NA,Pieza,Accesorio
AC-ACC-EAS-001,Kit Clavija Freeze Free Easy Heat,AC,Accesorios,Easy Heat,10802,Kit Clavija Freeze Free,N/A,N/A,,Instalación,Kit,
AC-ACC-EME-001,Argolla de Montaje para Motor Emerson,AC,Accesorios,Emerson,6614-KIT-13,Argolla de Montaje para Motor con Orejas,N/A,N/A,,Instalación,Pieza,
AC-ACC-GEN-001,Tubo Corrugado Flexible para Desagüe ADP-96,AC,Accesorios,Genérico,ADP-96,Tubo Corrugado Flexible Desagüe,NA,NA,NA,NA,Pieza,Accesorio
AC-ACC-GEN-002,Manguera Transparente para Desagüe ADPT-95,AC,Accesorios,Genérico,ADPT-95,Manguera Transparente Desagüe,NA,NA,NA,NA,Pieza,Accesorio
AC-ACC-HON-001,Cámara de Seguridad WiFi Honeywell C1,AC,Accesorios,Honeywell,WiFi,WiFi,,,,,Pieza,
AC-ACC-MIN-001,Tuerca Minalum Sacamura 8-32,AC,Accesorios,Minalum,0601TURS832,Tuerca Sacamura 8-32,NA,NA,NA,NA,Pieza,Tuerca
AC-ACC-USA-001,Tobogán Plástico Drenaje 1-1.5 TR USA Parts,AC,Accesorios,USA Parts,TOB-1-1.5,Tobogán Plástico AC 1-1.5 TR Drenaje,1-1.5 TR,N/A,,Drenaje,Pieza,
AC-ACC-USA-002,Tobogán Plástico Drenaje 1.5-3 TR USA Parts,AC,Accesorios,USA Parts,TOB-1.5-3,Tobogán Plástico AC 1.5-3 TR Drenaje,1.5-3 TR,N/A,,Drenaje,Pieza,
AC-AIS-AVA-001,Cortina Hawaiana Polivinil Avaly 2mm x 200mm,AC,Aislamiento,Avaly,VA-C200X91H,"Polivinil Reforzado Con Hilo Para Cortina Hawaiana,2 Mm X 200 Mm X 91.44 M",91.44 m,N/A,,Aislamiento,Rollo,
AC-AIS-COL-006,Cinta Espuma Coldtek 3mm x 50mm,AC,Aislamiento,Coldtek,CNFMRF001,Cinta Espuma Espesor 3.175X50.8X9.20,3mm x 50mm,N/A,,Aislamiento,Pieza,
AC-AIS-OWE-001,"Fibra Vidrio Owens c/Aluminio 1 1/2""",AC,Aislamiento,Owens Corning,6878,"6878 | Fibra De Vidrio Owens Con Aluminio 1.22X30M 1 1/2""",1.22x30m,N/A,,Aislamiento,Rollo,
AC-BOM-ASP-002,Bomba Condensado Aspen Mini Orange 230V,AC,Bombas,Aspen Pumps,FP2473,Bomba Aspen Mini Orange Estándar 230V,Mini,230 V,,Condensado,Pieza,
AC-BOM-ASP-003,Bomba Condensado Aspen Mini Orange Univolt,AC,Bombas,Aspen Pumps,FP1057,Bomba Mini Orange Univoltaje 100-250V,Mini,100-250 V,,Condensado,Pieza,
AC-BOM-ASP-004,Bomba Condensado Aspen Mini White Univolt,AC,Bombas,Aspen,FP1058,Bomba Condensado 100-250V,NA,100-250V,NA,Bombeo,Pieza,Accesorio
AC-BOM-AVA-001,Bomba Condensado Avaly 110/220V,AC,Bombas,Avaly,VA-BOCONA-110/220,Bomba De Condensado Avaly 110/220,Standard,110/220 V,,Condensado,Pieza,
AC-BOM-BAR-001,Mini Bomba Condensado Barreto,AC,Bombas,Grupo Barreto,AC-BDC-MO,Mini Bomba De Condensado Barreto,Mini,N/A,,Condensado,Pieza,
AC-BOM-USA-001,Bomba Condensado USA Tools Aspa-Pump,AC,Accesorios,USA Tools,Aspa-Pump,Aspa-Pump,,,,,Pieza,
AC-CAM-HON-001,Cámara de Seguridad WiFi C1 Honeywell,AC,Accesorios,Honeywell,WiFi C1,WiFi C1,,,,,Pieza,
AC-CAN-REC-001,"Terminal para Canaleta Rectorseal 3-1/2""",AC,Canaletas,Rectorseal,84007,"Terminal para Canaleta 3 1/2""","3-1/2""",N/A,,Instalación,Pieza,
AC-CAN-REC-002,"Cople para Canaleta Rectorseal 3-1/2""",AC,Canaletas,Rectorseal,84010,"Cople para Canaleta 3 1/2""","3-1/2""",N/A,,Instalación,Pieza,
AC-CAN-REC-003,"Conexión L para Canaleta Rectorseal 3-1/2""",AC,Canaletas,Rectorseal,84011,"Conexión L (Codo) para Canaleta 3 1/2""","3-1/2""",N/A,,Instalación,Pieza,
AC-CIN-AVA-001,Cinta Cork Tape Avaly 9.14m,AC,Instalación,Avaly,VCT1,Cinta Aislante Cork Tape 9.14 Mts,9.14 m,N/A,,Aislamiento,Rollo,
AC-CIN-AVA-002,Cinta Elastomérica Aislante Avaly 9.14m,AC,Accesorios,Avaly,9.14m,9.14m,,,,,Pieza,
AC-CIN-BAR-001,Cinta Aluminio A/C Grupo Barreto,AC,Instalación,Grupo Barreto,TA-45,Cinta De Aluminio Para Sistemas De Aire Acondicionado,Standard,N/A,,Aislamiento,Rollo,
