sku,precio,proveedor,sku_original,url,scraped_at,raw_id
EQ-POR-MIR-001,7032.0,Tienda Mirage,MIR-1388,https://www.tiendamirage.mx/aire-acondicionado/1388-portatil-x-one.html,2025-12-26 18:57:59.040867+00,1148
EQ-POR-MIR-002,9718.0,Tienda Mirage,MIR-1389,https://www.tiendamirage.mx/aire-acondicionado/1389-portatil-x-one-4-en-1.html,2025-12-26 18:57:59.040867+00,1149
EQ-MSO-1T110-001,6707.0,Tienda Mirage,MIR-1943,https://www.tiendamirage.mx/aire-acondicionado/1943-life-12-1-ton-frio-calor-110v.html,2025-12-26 18:57:59.040867+00,1150
EQ-MSO-1T220-001,6173.0,Tienda Mirage,MIR-1944,https://www.tiendamirage.mx/aire-acondicionado/1944-life-12-1-ton-frio-calor-220v.html,2025-12-26 18:57:59.040867+00,1151
EQ-MSO-15T220-001,9448.0,Tienda Mirage,MIR-1946,https://www.tiendamirage.mx/aire-acondicionado/1946-life-12-15-ton-frio-calor-220v.html,2025-12-26 18:57:59.040867+00,1152
EQ-MSO-2T220-001,11505.0,Tienda Mirage,MIR-2218,https://www.tiendamirage.mx/aire-acondicionado/2218-life-12-2-ton-frio-220v.html,2025-12-26 18:57:59.040867+00,1153
EQ-MSO-2T220-002,12582.0,Tienda Mirage,MIR-1945,https://www.tiendamirage.mx/aire-acondicionado/1945-life-12-2-ton-frio-calor-220v.html,2025-12-26 18:57:59.040867+00,1154
EQ-MSI-1T110-001,6756.26,Tienda Mirage,MIR-1910,https://www.tiendamirage.mx/aire-acondicionado/1910-inverter-x-1-ton-frio-110v.html,2025-12-26 18:57:59.040867+00,1155
EQ-MSI-1T220-001,6531.86,Tienda Mirage,MIR-1912,https://www.tiendamirage.mx/aire-acondicionado/1912-inverter-x-1-ton-frio-220v.html,2025-12-26 18:57:59.040867+00,1156
EQ-MSI-15T220-001,9469.69,Tienda Mirage,MIR-1914,https://www.tiendamirage.mx/aire-acondicionado/1914-inverter-x-15-ton-frio-220v.html,2025-12-26 18:57:59.040867+00,1157
EQ-MSI-15T220-002,10139.34,Tienda Mirage,MIR-1915,https://www.tiendamirage.mx/aire-acondicionado/1915-inverter-x-15-ton-frio-calor-220v.html,2025-12-26 18:57:59.040867+00,1158
EQ-MSI-2T220-001,12435.77,Tienda Mirage,MIR-1916,https://www.tiendamirage.mx/aire-acondicionado/1916-inverter-x-2-ton-frio-220v.html,2025-12-26 18:57:59.040867+00,1159
EQ-MSI-1T110-002,12348.55,Tienda Mirage,MIR-1936,https://www.tiendamirage.mx/aire-acondicionado/1936-magnum-22-1-ton-frio-calor-110v.html,2025-12-26 18:57:59.040867+00,1160
EQ-MSI-1T220-002,12106.0,Tienda Mirage,MIR-1938,https://www.tiendamirage.mx/aire-acondicionado/1938-magnum-22-1-ton-frio-calor-220v.html,2025-12-26 18:57:59.040867+00,1161
EQ-MSI-15T220-003,15844.0,Tienda Mirage,MIR-1939,https://www.tiendamirage.mx/aire-acondicionado/1939-magnum-22-15-ton-frio-220v.html,2025-12-26 18:57:59.040867+00,1162
EQ-MSI-15T220-004,16624.0,Tienda Mirage,MIR-2198,https://www.tiendamirage.mx/aire-acondicionado/2198-magnum-22-15-ton-frio-calor-220v.html,2025-12-26 18:57:59.040867+00,1163
EQ-MSI-2T220-002,20757.0,Tienda Mirage,MIR-2221,https://www.tiendamirage.mx/aire-acondicionado/2221-magnum-22-2-ton-frio-220v.html,2025-12-26 18:57:59.040867+00,1164
EQ-MSI-2T220-003,22347.0,Tienda Mirage,MIR-1948,https://www.tiendamirage.mx/aire-acondicionado/1948-magnum-22-2-ton-frio-calor-220v.html,2025-12-26 18:57:59.040867+00,1165
EQ-MSO-1T110-002,5059.0,Tienda Mirage,MIR-1949,https://www.tiendamirage.mx/aire-acondicionado/1949-nex-1-ton-frio-110v.html,2025-12-26 18:57:59.040867+00,1166
EQ-MSO-1T110-003,5820.0,Tienda Mirage,MIR-1950,https://www.tiendamirage.mx/aire-acondicionado/1950-nex-1-ton-frio-calor-110v.html,2025-12-26 18:57:59.040867+00,1167
EQ-MSO-1T220-003,4897.0,Tienda Mirage,MIR-1953,https://www.tiendamirage.mx/aire-acondicionado/1953-nex-1-ton-frio-220v.html,2025-12-26 18:57:59.040867+00,1168
